name,gutendex_query,corpus,original_language,era,batch,source_family,source_unit,min_independent_sources,notes
O. Henry,Henry O,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
Ambrose Bierce,Bierce,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
Frank Norris,Norris Frank,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
Hamlin Garland,Garland Hamlin,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
Stephen Leacock,Leacock,literary,en,20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
Arthur Machen,Machen,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
Algernon Blackwood,Blackwood Algernon,literary,en,20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
Sax Rohmer,Rohmer,literary,en,20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
Edgar Rice Burroughs,Burroughs Edgar Rice,literary,en,20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
Robert W. Chambers,Chambers Robert W,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
E. Phillips Oppenheim,Oppenheim,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
Israel Zangwill,Zangwill,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
William Dean Howells,Howells,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
Sarah Orne Jewett,Jewett,literary,en,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
Mary E. Wilkins Freeman,Freeman Mary,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
Alice Brown,Brown Alice,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
Harold Frederic,Frederic Harold,literary,en,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
Frank R. Stockton,Stockton,literary,en,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
Anthony Hope,Hope Anthony,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
Stanley J. Weyman,Weyman,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
W. W. Jacobs,Jacobs W W,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
Richard Harding Davis,Davis Richard Harding,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
Owen Wister,Wister,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
Gertrude Atherton,Atherton,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
Octave Mirbeau,Mirbeau,literary,fr,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,French originals only
Joris-Karl Huysmans,Huysmans,literary,fr,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,French originals only
Pierre Loti,Loti,literary,fr,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,French originals only
Paul Bourget,Bourget,literary,fr,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,French originals only
Villiers de l'Isle-Adam,Villiers de Isle Adam,literary,fr,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,French originals only
Jules Barbey d'Aurevilly,Barbey Aurevilly,literary,fr,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,French originals only
Edmond About,About Edmond,literary,fr,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,French originals only
Eugene Sue,Sue Eugene,literary,fr,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,French originals only
Pierre Louys,Louys,literary,fr,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,French originals only
Henri Barbusse,Barbusse,literary,fr,20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,French originals only
Marcel Schwob,Schwob,literary,fr,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,French originals only
Rene Bazin,Bazin Rene,literary,fr,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,French originals only
Jean Lorrain,Lorrain Jean,literary,fr,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,French originals only
Octave Feuillet,Feuillet,literary,fr,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,French originals only
Paul Feval,Feval,literary,fr,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,French originals only
Gustav Freytag,Freytag,literary,de,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,German originals only
Wilhelm Raabe,Raabe,literary,de,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,German originals only
Wilhelm Hauff,Hauff,literary,de,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,German originals only
Eduard Morike,Morike,literary,de,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,German originals only
Paul Heyse,Heyse,literary,de,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,German originals only
Ricarda Huch,Huch Ricarda,literary,de,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,German originals only
Jakob Wassermann,Wassermann,literary,de,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,German originals only
Gustav Meyrink,Meyrink,literary,de,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,German originals only
Heinrich Mann,Mann Heinrich,literary,de,20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,German originals only
Ludwig Ganghofer,Ganghofer,literary,de,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,German originals only
Clara Viebig,Viebig,literary,de,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,German originals only
Friedrich Spielhagen,Spielhagen,literary,de,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,German originals only
Karl May,May Karl,literary,de,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,German originals only
Marie von Ebner-Eschenbach,Ebner-Eschenbach,literary,de,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,German originals only
Hermann Sudermann,Sudermann,literary,de,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,German originals only
Armando Palacio Valdes,Palacio Valdes,literary,es,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,Spanish originals only
Pedro Antonio de Alarcon,Alarcon Pedro Antonio,literary,es,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,Spanish originals only
Jose Maria de Pereda,Pereda,literary,es,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,Spanish originals only
Ramon del Valle-Inclan,Valle-Inclan,literary,es,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,Spanish originals only
Azorin,Martinez Ruiz Jose,literary,es,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,Spanish originals only
Ricardo Palma,Palma Ricardo,literary,es,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,Spanish originals only
Jose Echegaray,Echegaray,literary,es,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,Spanish originals only
Angel Ganivet,Ganivet,literary,es,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,Spanish originals only
Concha Espina,Espina Concha,literary,es,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,Spanish originals only
Eduardo Zamacois,Zamacois,literary,es,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,Spanish originals only
Matilde Serao,Serao,literary,it,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,Italian originals only
Luigi Capuana,Capuana,literary,it,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,Italian originals only
Federico De Roberto,De Roberto,literary,it,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,Italian originals only
Alfredo Panzini,Panzini,literary,it,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,Italian originals only
Neera,Radius Zuccari Anna,literary,it,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,Italian originals only
Salvatore Farina,Farina Salvatore,literary,it,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,Italian originals only
Emilio Salgari,Salgari,literary,it,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,Italian originals only
Renato Fucini,Fucini,literary,it,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,Italian originals only
Annie Vivanti,Vivanti,literary,it,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,Italian originals only
Sibilla Aleramo,Aleramo,literary,it,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,Italian originals only
