name,corpus,original_language,era,batch,source_family,source_unit,min_independent_sources,notes
Franklin Pierce,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material
James Buchanan,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material
Abraham Lincoln,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material
Andrew Johnson,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material
Ulysses S. Grant,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material
Rutherford B. Hayes,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material
James A. Garfield,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material
Chester A. Arthur,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material
Grover Cleveland,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material
Benjamin Harrison,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material
William McKinley,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material
Theodore Roosevelt,rhetorical,en,20c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material
William Howard Taft,rhetorical,en,20c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material
Woodrow Wilson,rhetorical,en,20c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material
Warren G. Harding,rhetorical,en,20c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material
Calvin Coolidge,rhetorical,en,20c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material
Herbert Hoover,rhetorical,en,20c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material
Franklin D. Roosevelt,rhetorical,en,20c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material
Harry S. Truman,rhetorical,en,20c,seed_rhetorical_us_presidents,official presidential public documents / APP,speech_or_document,3,original English public rhetoric; no campaign material
Dwight D. Eisenhower,rhetorical,en,20c,seed_rhetorical_us_presidents,official presidential public documents / APP,speech_or_document,3,original English public rhetoric; no campaign material
John F. Kennedy,rhetorical,en,20c,seed_rhetorical_us_presidents,official presidential public documents / APP / JFK Library,speech_or_document,3,original English public rhetoric; no campaign material
Lyndon B. Johnson,rhetorical,en,20c,seed_rhetorical_us_presidents,official presidential public documents / APP,speech_or_document,3,original English public rhetoric; no campaign material
Richard Nixon,rhetorical,en,20c,seed_rhetorical_us_presidents,official presidential public documents / APP,speech_or_document,3,original English public rhetoric; no campaign material
Gerald Ford,rhetorical,en,20c,seed_rhetorical_us_presidents,official presidential public documents / APP,speech_or_document,3,original English public rhetoric; no campaign material
Jimmy Carter,rhetorical,en,20c,seed_rhetorical_us_presidents,official presidential public documents / APP,speech_or_document,3,original English public rhetoric; no campaign material
Ronald Reagan,rhetorical,en,20c,seed_rhetorical_us_presidents,official presidential public documents / APP,speech_or_document,3,original English public rhetoric; no campaign material
George H. W. Bush,rhetorical,en,20c,seed_rhetorical_us_presidents,official presidential public documents / APP,speech_or_document,3,original English public rhetoric; no campaign material
Bill Clinton,rhetorical,en,20c,seed_rhetorical_us_presidents,official presidential public documents / APP,speech_or_document,3,original English public rhetoric; no campaign material
George W. Bush,rhetorical,en,21c,seed_rhetorical_us_presidents,official presidential public documents / APP,speech_or_document,3,original English public rhetoric; no campaign material
Barack Obama,rhetorical,en,21c,seed_rhetorical_us_presidents,official presidential public documents / APP / White House archives,speech_or_document,3,original English public rhetoric; no campaign material
Donald Trump,rhetorical,en,21c,seed_rhetorical_us_presidents,official presidential public documents / APP / White House archives,speech_or_document,3,original English public rhetoric; no campaign material
Joe Biden,rhetorical,en,21c,seed_rhetorical_us_presidents,official presidential public documents / APP / White House archives,speech_or_document,3,original English public rhetoric; no campaign material
Winston Churchill,rhetorical,en,20c,expand_rhetorical_public_figures,Churchill archive / official speeches,speech_or_document,3,original English public rhetoric only
Martin Luther King Jr.,rhetorical,en,20c,expand_rhetorical_public_figures,speech archive,speech_or_document,3,original English public rhetoric only
Bill Gates,rhetorical,en,20c_21c,expand_rhetorical_public_figures,official essays / speeches / transcripts,speech_or_document,3,original English texts only
Elon Musk,rhetorical,en,21c,expand_rhetorical_public_figures,official speeches / interviews / posts,speech_or_document,3,original English texts only
Steve Jobs,rhetorical,en,20c_21c,expand_rhetorical_public_figures,official speeches / keynotes,speech_or_document,3,original English texts only
Nelson Mandela,rhetorical,en,20c_21c,expand_rhetorical_public_figures,foundation/archive speeches,speech_or_document,3,collect English originals only in the English pass
Margaret Thatcher,rhetorical,en,20c,expand_rhetorical_uk,foundation/archive speeches,speech_or_document,3,original English public rhetoric only
Tony Blair,rhetorical,en,20c_21c,expand_rhetorical_uk,official speeches/archive,speech_or_document,3,original English public rhetoric only
Boris Johnson,rhetorical,en,21c,expand_rhetorical_uk,official speeches/archive,speech_or_document,3,original English public rhetoric only
Keir Starmer,rhetorical,en,21c,expand_rhetorical_uk,official speeches/archive,speech_or_document,3,original English public rhetoric only; no campaign material
Theresa May,rhetorical,en,21c,expand_rhetorical_uk,official speeches/archive,speech_or_document,3,original English public rhetoric only
David Cameron,rhetorical,en,21c,expand_rhetorical_uk,official speeches/archive,speech_or_document,3,original English public rhetoric only
Gordon Brown,rhetorical,en,21c,expand_rhetorical_uk,official speeches/archive,speech_or_document,3,original English public rhetoric only
John Major,rhetorical,en,20c,expand_rhetorical_uk,official speeches/archive,speech_or_document,3,original English public rhetoric only
Rishi Sunak,rhetorical,en,21c,expand_rhetorical_uk,official speeches/archive,speech_or_document,3,original English public rhetoric only
Liz Truss,rhetorical,en,21c,expand_rhetorical_uk,official speeches/archive,speech_or_document,3,original English public rhetoric only
Kamala Harris,rhetorical,en,21c,expand_rhetorical_us_modern,official speeches / White House / Senate archive,speech_or_document,3,original English public rhetoric; no campaign material
Hillary Clinton,rhetorical,en,20c_21c,expand_rhetorical_us_modern,official speeches / State Department / Senate archive,speech_or_document,3,original English public rhetoric; no campaign material
Bernie Sanders,rhetorical,en,20c_21c,expand_rhetorical_us_modern,official congressional/senate speeches,speech_or_document,3,original English public rhetoric; no campaign material
Elizabeth Warren,rhetorical,en,21c,expand_rhetorical_us_modern,official senate speeches,speech_or_document,3,original English public rhetoric; no campaign material
Alexandria Ocasio-Cortez,rhetorical,en,21c,expand_rhetorical_us_modern,official congressional speeches,speech_or_document,3,original English public rhetoric; no campaign material
Ron DeSantis,rhetorical,en,21c,expand_rhetorical_us_modern,official governor speeches,speech_or_document,3,original English public rhetoric; no campaign material
Justin Trudeau,rhetorical,en,21c,expand_rhetorical_commonwealth,official English speeches,speech_or_document,3,English originals only
Justin Trudeau,rhetorical,fr,21c,expand_rhetorical_commonwealth,official French speeches,speech_or_document,3,French originals only
Jacinda Ardern,rhetorical,en,21c,expand_rhetorical_commonwealth,official speeches,speech_or_document,3,original English public rhetoric only
Anthony Albanese,rhetorical,en,21c,expand_rhetorical_commonwealth,official speeches,speech_or_document,3,original English public rhetoric only
Adolf Hitler,rhetorical,de,20c,expand_rhetorical_multilingual,German speech archive,speech_or_document,3,German originals only
Angela Merkel,rhetorical,de,21c,expand_rhetorical_multilingual,official German speeches,speech_or_document,3,German originals only
Olaf Scholz,rhetorical,de,21c,expand_rhetorical_multilingual,official German speeches,speech_or_document,3,German originals only
Emmanuel Macron,rhetorical,fr,21c,expand_rhetorical_multilingual,official French speeches,speech_or_document,3,French originals only
Charles de Gaulle,rhetorical,fr,20c,expand_rhetorical_multilingual,French speech archive,speech_or_document,3,French originals only
Francois Mitterrand,rhetorical,fr,20c,expand_rhetorical_multilingual,French speech archive,speech_or_document,3,French originals only
Pope Francis,rhetorical,it,21c,expand_rhetorical_multilingual,Vatican source texts,speech_or_document,3,Italian originals unless speech delivered in another source language
Pope Benedict XVI,rhetorical,de,21c,expand_rhetorical_multilingual,Vatican source texts,speech_or_document,3,German originals unless speech delivered in another source language
Pope John Paul II,rhetorical,pl,20c_21c,expand_rhetorical_multilingual,Vatican source texts,speech_or_document,3,Polish originals unless speech delivered in another source language
Fidel Castro,rhetorical,es,20c_21c,expand_rhetorical_multilingual,Spanish speech archive,speech_or_document,3,Spanish originals only
Salvador Allende,rhetorical,es,20c,expand_rhetorical_multilingual,Spanish speech archive,speech_or_document,3,Spanish originals only
Hugo Chavez,rhetorical,es,20c_21c,expand_rhetorical_multilingual,Spanish speech archive,speech_or_document,3,Spanish originals only
Greta Thunberg,rhetorical,en,21c,expand_rhetorical_public_figures,official speeches,speech_or_document,3,collect only speeches originally delivered in English
Malala Yousafzai,rhetorical,en,21c,expand_rhetorical_public_figures,official speeches,speech_or_document,3,collect only speeches originally delivered in English
