corpus,name,original_language,year,title,source_id,source_url,source_format
literary,Li Boyuan,zh,1903,官場現形記(下),gutenberg_24139,https://www.gutenberg.org/ebooks/24139.txt.utf-8,gutenberg_text
literary,Li Boyuan,zh,1906,文明小史,gutenberg_25379,https://www.gutenberg.org/ebooks/25379.txt.utf-8,gutenberg_text
literary,Zeng Pu,zh,1905,孽海花,gutenberg_25128,https://www.gutenberg.org/ebooks/25128.txt.utf-8,gutenberg_text
literary,Su Manshu,zh,1912,斷鴻零雁記,gutenberg_23983,https://www.gutenberg.org/ebooks/23983.txt.utf-8,gutenberg_text
literary,Zhu Ziqing,zh,1934,歐遊雜記,gutenberg_24110,https://www.gutenberg.org/ebooks/24110.txt.utf-8,gutenberg_text
literary,Yu Dafu,zh,1921,沉沦,gutenberg_27636,https://www.gutenberg.org/ebooks/27636.txt.utf-8,gutenberg_text
rhetorical,Sun Yat-sen,zh,1924,三民主義,wikisource_sunyatsen_sanmin,https://zh.wikisource.org/wiki/三民主義,wikisource_subpages
rhetorical,Sun Yat-sen,zh,1919,孫文學說,wikisource_sunyatsen_xueshuo,https://zh.wikisource.org/wiki/孫文學說,wikisource_subpages
rhetorical,Sun Yat-sen,zh,1894,上李鴻章書,wikisource_sunyatsen_lihongzhang,https://zh.wikisource.org/wiki/上李鴻章書,wikisource_subpages
rhetorical,Liang Qichao,zh,1900,少年中國說,wikisource_liangqichao_shaonian,https://zh.wikisource.org/wiki/少年中國說,wikisource_subpages
rhetorical,Liang Qichao,zh,1902,新民說,wikisource_liangqichao_xinmin,https://zh.wikisource.org/wiki/新民說,wikisource_subpages
rhetorical,Liang Qichao,zh,1899,飲冰室自由書,wikisource_liangqichao_ziyoushu,https://zh.wikisource.org/wiki/飲冰室自由書,wikisource_subpages
rhetorical,Cai Yuanpei,zh,1917,就任北京大學校長之演說,wikisource_caiyuanpei_beida,https://zh.wikisource.org/wiki/就任北京大學校長之演說,wikisource_subpages
rhetorical,Cai Yuanpei,zh,1917,以美育代宗教說,wikisource_caiyuanpei_meiyu,https://zh.wikisource.org/wiki/以美育代宗教說,wikisource_subpages
literary,Mori Ogai,ja,1890,舞姫,aozora_682_15414,https://www.aozora.gr.jp/cards/000129/files/682_15414.html,aozora_html
literary,Mori Ogai,ja,1911,雁,aozora_45224_19919,https://www.aozora.gr.jp/cards/000129/files/45224_19919.html,aozora_html
literary,Mori Ogai,ja,1916,高瀬舟,aozora_45245_22007,https://www.aozora.gr.jp/cards/000129/files/45245_22007.html,aozora_html
literary,Higuchi Ichiyo,ja,1895,たけくらべ,aozora_55671_64594,https://www.aozora.gr.jp/cards/000064/files/55671_64594.html,aozora_html
literary,Higuchi Ichiyo,ja,1895,にごりえ,aozora_56042_54978,https://www.aozora.gr.jp/cards/000064/files/56042_54978.html,aozora_html
literary,Higuchi Ichiyo,ja,1895,十三夜,aozora_386_15291,https://www.aozora.gr.jp/cards/000064/files/386_15291.html,aozora_html
literary,Miyazawa Kenji,ja,1934,銀河鉄道の夜,aozora_43737_19215,https://www.aozora.gr.jp/cards/000081/files/43737_19215.html,aozora_html
literary,Miyazawa Kenji,ja,1934,風の又三郎,aozora_462_15405,https://www.aozora.gr.jp/cards/000081/files/462_15405.html,aozora_html
literary,Miyazawa Kenji,ja,1924,注文の多い料理店,aozora_1927_17906,https://www.aozora.gr.jp/cards/000081/files/1927_17906.html,aozora_html
literary,Okamoto Kido,ja,1917,半七捕物帳,aozora_964_15046,https://www.aozora.gr.jp/cards/000082/files/964_15046.html,aozora_html
literary,Okamoto Kido,ja,1925,三浦老人昔話,aozora_1304_18858,https://www.aozora.gr.jp/cards/000082/files/1304_18858.html,aozora_html
literary,Okamoto Kido,ja,1926,青蛙堂鬼談,aozora_1307_20001,https://www.aozora.gr.jp/cards/000082/files/1307_20001.html,aozora_html
literary,Izumi Kyoka,ja,1900,高野聖,aozora_521_20583,https://www.aozora.gr.jp/cards/000050/files/521_20583.html,aozora_html
literary,Izumi Kyoka,ja,1907,婦系図,aozora_1087_34456,https://www.aozora.gr.jp/cards/000050/files/1087_34456.html,aozora_html
literary,Izumi Kyoka,ja,1908,草迷宮,aozora_3586_12103,https://www.aozora.gr.jp/cards/000050/files/3586_12103.html,aozora_html
literary,Shimazaki Toson,ja,1906,破戒,aozora_1502_24633,https://www.aozora.gr.jp/cards/000158/files/1502_24633.html,aozora_html
literary,Shimazaki Toson,ja,1932,夜明け前,aozora_1507_14593,https://www.aozora.gr.jp/cards/000158/files/1507_14593.html,aozora_html
literary,Shimazaki Toson,ja,1911,家,aozora_1510_40740,https://www.aozora.gr.jp/cards/000158/files/1510_40740.html,aozora_html
literary,Arishima Takeo,ja,1919,或る女,aozora_202_20066,https://www.aozora.gr.jp/cards/000025/files/202_20066.html,aozora_html
literary,Arishima Takeo,ja,1917,カインの末裔,aozora_204_19524,https://www.aozora.gr.jp/cards/000025/files/204_19524.html,aozora_html
literary,Arishima Takeo,ja,1918,小さき者へ,aozora_206_20463,https://www.aozora.gr.jp/cards/000025/files/206_20463.html,aozora_html
literary,Kunikida Doppo,ja,1898,武蔵野,aozora_329_15886,https://www.aozora.gr.jp/cards/000038/files/329_15886.html,aozora_html
literary,Kunikida Doppo,ja,1901,牛肉と馬鈴薯,aozora_323_43411,https://www.aozora.gr.jp/cards/000038/files/323_43411.html,aozora_html
literary,Kunikida Doppo,ja,1904,春の鳥,aozora_1057_15980,https://www.aozora.gr.jp/cards/000038/files/1057_15980.html,aozora_html
literary,Victor Hugo,fr,1831,Notre-Dame de Paris,gutenberg_19657,https://www.gutenberg.org/ebooks/19657.txt.utf-8,gutenberg_text
literary,Victor Hugo,fr,1874,Quatrevingt-Treize,gutenberg_9645,https://www.gutenberg.org/ebooks/9645.txt.utf-8,gutenberg_text
literary,Victor Hugo,fr,1869,L'homme qui rit,gutenberg_5423,https://www.gutenberg.org/ebooks/5423.txt.utf-8,gutenberg_text
rhetorical,Victor Hugo,fr,1875,"Actes et Paroles, Volume 1",gutenberg_8186,https://www.gutenberg.org/ebooks/8186.txt.utf-8,gutenberg_text
rhetorical,Victor Hugo,fr,1875,"Actes et Paroles, Volume 2: Pendant l'exil",gutenberg_8453,https://www.gutenberg.org/ebooks/8453.txt.utf-8,gutenberg_text
rhetorical,Victor Hugo,fr,1889,"Actes et Paroles, Volume 4: Depuis l'exil",gutenberg_8490,https://www.gutenberg.org/ebooks/8490.txt.utf-8,gutenberg_text
literary,Guy de Maupassant,fr,1880,Boule de Suif,gutenberg_10746,https://www.gutenberg.org/ebooks/10746.txt.utf-8,gutenberg_text
literary,Guy de Maupassant,fr,1888,Pierre et Jean,gutenberg_11131,https://www.gutenberg.org/ebooks/11131.txt.utf-8,gutenberg_text
literary,Guy de Maupassant,fr,1883,Une vie,gutenberg_17457,https://www.gutenberg.org/ebooks/17457.txt.utf-8,gutenberg_text
literary,Jules Verne,fr,1872,Le tour du monde en quatre-vingts jours,gutenberg_800,https://www.gutenberg.org/ebooks/800.txt.utf-8,gutenberg_text
literary,Jules Verne,fr,1864,Voyage au centre de la Terre,gutenberg_4791,https://www.gutenberg.org/ebooks/4791.txt.utf-8,gutenberg_text
literary,Jules Verne,fr,1874,L'île mystérieuse,gutenberg_14287,https://www.gutenberg.org/ebooks/14287.txt.utf-8,gutenberg_text
literary,Honore de Balzac,fr,1833,Eugénie Grandet,gutenberg_11049,https://www.gutenberg.org/ebooks/11049.txt.utf-8,gutenberg_text
literary,Honore de Balzac,fr,1830,La Maison du Chat-qui-pelote,gutenberg_24217,https://www.gutenberg.org/ebooks/24217.txt.utf-8,gutenberg_text
literary,Honore de Balzac,fr,,La Comédie humaine - Volume 14. Études philosophiques,gutenberg_71773,https://www.gutenberg.org/ebooks/71773.txt.utf-8,gutenberg_text
literary,Stendhal,fr,1830,Le rouge et le noir,gutenberg_798,https://www.gutenberg.org/ebooks/798.txt.utf-8,gutenberg_text
literary,Stendhal,fr,1839,La Chartreuse de Parme,gutenberg_796,https://www.gutenberg.org/ebooks/796.txt.utf-8,gutenberg_text
literary,Stendhal,fr,1890,"Vie de Henri Brulard, tome 1",gutenberg_53749,https://www.gutenberg.org/ebooks/53749.txt.utf-8,gutenberg_text
literary,George Sand,fr,1841,Pauline,gutenberg_12447,https://www.gutenberg.org/ebooks/12447.txt.utf-8,gutenberg_text
literary,George Sand,fr,1842,"Consuelo, Tome 1",gutenberg_12666,https://www.gutenberg.org/ebooks/12666.txt.utf-8,gutenberg_text
literary,George Sand,fr,1833,Lavinia,gutenberg_13016,https://www.gutenberg.org/ebooks/13016.txt.utf-8,gutenberg_text
literary,Alexandre Dumas,fr,1850,La Tulipe Noire,gutenberg_1910,https://www.gutenberg.org/ebooks/1910.txt.utf-8,gutenberg_text
literary,Alexandre Dumas,fr,1846,La dame de Monsoreau — Tome 1,gutenberg_9637,https://www.gutenberg.org/ebooks/9637.txt.utf-8,gutenberg_text
literary,Alexandre Dumas,fr,1847,Les quarante-cinq — Tome 1,gutenberg_7770,https://www.gutenberg.org/ebooks/7770.txt.utf-8,gutenberg_text
literary,Anatole France,fr,1890,Thaïs,gutenberg_6377,https://www.gutenberg.org/ebooks/6377.txt.utf-8,gutenberg_text
literary,Anatole France,fr,1908,L'Île des Pingouins,gutenberg_8524,https://www.gutenberg.org/ebooks/8524.txt.utf-8,gutenberg_text
literary,Anatole France,fr,1892,La rôtisserie de la Reine Pédauque,gutenberg_11645,https://www.gutenberg.org/ebooks/11645.txt.utf-8,gutenberg_text
literary,Alphonse Daudet,fr,1869,Lettres de mon moulin,gutenberg_11770,https://www.gutenberg.org/ebooks/11770.txt.utf-8,gutenberg_text
literary,Alphonse Daudet,fr,1872,Tartarin de Tarascon,gutenberg_10687,https://www.gutenberg.org/ebooks/10687.txt.utf-8,gutenberg_text
literary,Alphonse Daudet,fr,1868,Le petit chose,gutenberg_13256,https://www.gutenberg.org/ebooks/13256.txt.utf-8,gutenberg_text
literary,Maurice Leblanc,fr,1907,"Arsène Lupin, gentleman-cambrioleur",gutenberg_32854,https://www.gutenberg.org/ebooks/32854.txt.utf-8,gutenberg_text
literary,Gaston Leroux,fr,1907,Le mystère de la chambre jaune,gutenberg_13765,https://www.gutenberg.org/ebooks/13765.txt.utf-8,gutenberg_text
literary,Gaston Leroux,fr,1908,Le parfum de la dame en noir,gutenberg_15554,https://www.gutenberg.org/ebooks/15554.txt.utf-8,gutenberg_text
literary,Gaston Leroux,fr,1910,Le Fantôme de l'Opéra,gutenberg_62215,https://www.gutenberg.org/ebooks/62215.txt.utf-8,gutenberg_text
literary,Emile Gaboriau,fr,1866,L'affaire Lerouge,gutenberg_15579,https://www.gutenberg.org/ebooks/15579.txt.utf-8,gutenberg_text
literary,Emile Gaboriau,fr,1869,Monsieur Lecoq — Volume 1,gutenberg_8650,https://www.gutenberg.org/ebooks/8650.txt.utf-8,gutenberg_text
literary,Emile Gaboriau,fr,1868,Les esclaves de Paris,gutenberg_36894,https://www.gutenberg.org/ebooks/36894.txt.utf-8,gutenberg_text
literary,Theodor Fontane,de,1895,Effi Briest,gutenberg_5323,https://www.gutenberg.org/ebooks/5323.txt.utf-8,gutenberg_text
literary,Theodor Fontane,de,1898,Der Stechlin,gutenberg_53628,https://www.gutenberg.org/ebooks/53628.txt.utf-8,gutenberg_text
literary,Theodor Fontane,de,1892,Frau Jenny Treibel,gutenberg_46184,https://www.gutenberg.org/ebooks/46184.txt.utf-8,gutenberg_text
literary,Stefan Zweig,de,1911,Brennendes Geheimnis,gutenberg_24173,https://www.gutenberg.org/ebooks/24173.txt.utf-8,gutenberg_text
literary,Stefan Zweig,de,1922,Amok: Novellen einer Leidenschaft,gutenberg_57850,https://www.gutenberg.org/ebooks/57850.txt.utf-8,gutenberg_text
literary,Stefan Zweig,de,1920,"Drei Meister: Balzac, Dickens, Dostojewski",gutenberg_36389,https://www.gutenberg.org/ebooks/36389.txt.utf-8,gutenberg_text
literary,Rainer Maria Rilke,de,1910,Die Aufzeichnungen des Malte Laurids Brigge,gutenberg_2188,https://www.gutenberg.org/ebooks/2188.txt.utf-8,gutenberg_text
literary,Rainer Maria Rilke,de,1900,Geschichten vom lieben Gott,gutenberg_38402,https://www.gutenberg.org/ebooks/38402.txt.utf-8,gutenberg_text
literary,Rainer Maria Rilke,de,1899,Zwei Prager Geschichten,gutenberg_27822,https://www.gutenberg.org/ebooks/27822.txt.utf-8,gutenberg_text
literary,Heinrich Heine,de,1826,Die Harzreise,gutenberg_24249,https://www.gutenberg.org/ebooks/24249.txt.utf-8,gutenberg_text
literary,Heinrich Heine,de,1844,Deutschland. Ein Wintermärchen,gutenberg_6079,https://www.gutenberg.org/ebooks/6079.txt.utf-8,gutenberg_text
literary,Heinrich Heine,de,1827,Buch der Lieder,gutenberg_3498,https://www.gutenberg.org/ebooks/3498.txt.utf-8,gutenberg_text
literary,E. T. A. Hoffmann,de,1814,Der Goldene Topf,gutenberg_17362,https://www.gutenberg.org/ebooks/17362.txt.utf-8,gutenberg_text
literary,E. T. A. Hoffmann,de,1817,Nachtstücke,gutenberg_6341,https://www.gutenberg.org/ebooks/6341.txt.utf-8,gutenberg_text
literary,E. T. A. Hoffmann,de,1815,Die Elixiere des Teufels,gutenberg_76360,https://www.gutenberg.org/ebooks/76360.txt.utf-8,gutenberg_text
literary,Arthur Schnitzler,de,1918,Casanovas Heimfahrt,gutenberg_18148,https://www.gutenberg.org/ebooks/18148.txt.utf-8,gutenberg_text
literary,Arthur Schnitzler,de,1905,"Die griechische Tänzerin, und andere Novellen",gutenberg_17142,https://www.gutenberg.org/ebooks/17142.txt.utf-8,gutenberg_text
literary,Arthur Schnitzler,de,1900,Reigen: Zehn Dialoge,gutenberg_37266,https://www.gutenberg.org/ebooks/37266.txt.utf-8,gutenberg_text
literary,Hermann Hesse,de,1922,Siddhartha,gutenberg_2499,https://www.gutenberg.org/ebooks/2499.txt.utf-8,gutenberg_text
literary,Hermann Hesse,de,1919,Demian,gutenberg_41907,https://www.gutenberg.org/ebooks/41907.txt.utf-8,gutenberg_text
literary,Hermann Hesse,de,1906,Unterm Rad,gutenberg_49908,https://www.gutenberg.org/ebooks/49908.txt.utf-8,gutenberg_text
literary,Thomas Mann,de,1901,Buddenbrooks: Verfall einer Familie,gutenberg_34811,https://www.gutenberg.org/ebooks/34811.txt.utf-8,gutenberg_text
literary,Thomas Mann,de,1912,Der Tod in Venedig,gutenberg_12108,https://www.gutenberg.org/ebooks/12108.txt.utf-8,gutenberg_text
literary,Thomas Mann,de,1903,Tonio Kröger,gutenberg_23313,https://www.gutenberg.org/ebooks/23313.txt.utf-8,gutenberg_text
literary,Theodor Storm,de,1849,Immensee,gutenberg_6651,https://www.gutenberg.org/ebooks/6651.txt.utf-8,gutenberg_text
literary,Theodor Storm,de,1876,Aquis submersus,gutenberg_8889,https://www.gutenberg.org/ebooks/8889.txt.utf-8,gutenberg_text
literary,Theodor Storm,de,1874,Pole Poppenspäler,gutenberg_8919,https://www.gutenberg.org/ebooks/8919.txt.utf-8,gutenberg_text
literary,Benito Perez Galdos,es,1873,Trafalgar,gutenberg_16961,https://www.gutenberg.org/ebooks/16961.txt.utf-8,gutenberg_text
literary,Benito Perez Galdos,es,1878,Marianela,gutenberg_17340,https://www.gutenberg.org/ebooks/17340.txt.utf-8,gutenberg_text
literary,Benito Perez Galdos,es,1887,Fortunata y Jacinta,gutenberg_17013,https://www.gutenberg.org/ebooks/17013.txt.utf-8,gutenberg_text
literary,Miguel de Unamuno,es,1914,Niebla,gutenberg_49836,https://www.gutenberg.org/ebooks/49836.txt.utf-8,gutenberg_text
literary,Miguel de Unamuno,es,1917,Abel Sánchez,gutenberg_44512,https://www.gutenberg.org/ebooks/44512.txt.utf-8,gutenberg_text
literary,Miguel de Unamuno,es,1921,La Tía Tula,gutenberg_44358,https://www.gutenberg.org/ebooks/44358.txt.utf-8,gutenberg_text
literary,Vicente Blasco Ibanez,es,1898,La Barraca,gutenberg_14944,https://www.gutenberg.org/ebooks/14944.txt.utf-8,gutenberg_text
literary,Vicente Blasco Ibanez,es,1903,La Catedral,gutenberg_16670,https://www.gutenberg.org/ebooks/16670.txt.utf-8,gutenberg_text
literary,Vicente Blasco Ibanez,es,1916,Los cuatro jinetes del apocalipsis,gutenberg_24536,https://www.gutenberg.org/ebooks/24536.txt.utf-8,gutenberg_text
literary,Emilia Pardo Bazan,es,1886,Los pazos de Ulloa,gutenberg_18005,https://www.gutenberg.org/ebooks/18005.txt.utf-8,gutenberg_text
literary,Emilia Pardo Bazan,es,1883,La Tribuna,gutenberg_17491,https://www.gutenberg.org/ebooks/17491.txt.utf-8,gutenberg_text
literary,Emilia Pardo Bazan,es,1881,Un viaje de novios,gutenberg_17406,https://www.gutenberg.org/ebooks/17406.txt.utf-8,gutenberg_text
literary,Leopoldo Alas,es,1885,La Regenta,gutenberg_17073,https://www.gutenberg.org/ebooks/17073.txt.utf-8,gutenberg_text
literary,Leopoldo Alas,es,1891,Su único hijo,gutenberg_17341,https://www.gutenberg.org/ebooks/17341.txt.utf-8,gutenberg_text
literary,Leopoldo Alas,es,1893,El Señor y los demás son Cuentos,gutenberg_62361,https://www.gutenberg.org/ebooks/62361.txt.utf-8,gutenberg_text
literary,Pio Baroja,es,1904,La lucha por la vida: La busca,gutenberg_43432,https://www.gutenberg.org/ebooks/43432.txt.utf-8,gutenberg_text
literary,Pio Baroja,es,1908,Zalacaín el Aventurero,gutenberg_13264,https://www.gutenberg.org/ebooks/13264.txt.utf-8,gutenberg_text
literary,Pio Baroja,es,1911,Las inquietudes de Shanti Andía,gutenberg_12848,https://www.gutenberg.org/ebooks/12848.txt.utf-8,gutenberg_text
literary,Juan Valera,es,1874,Pepita Jiménez,gutenberg_17223,https://www.gutenberg.org/ebooks/17223.txt.utf-8,gutenberg_text
literary,Juan Valera,es,1895,Juanita la Larga,gutenberg_16484,https://www.gutenberg.org/ebooks/16484.txt.utf-8,gutenberg_text
literary,Juan Valera,es,1879,Doña Luz,gutenberg_17338,https://www.gutenberg.org/ebooks/17338.txt.utf-8,gutenberg_text
literary,Luigi Pirandello,it,1918,Un cavallo nella luna: Novelle,gutenberg_56775,https://www.gutenberg.org/ebooks/56775.txt.utf-8,gutenberg_text
literary,Luigi Pirandello,it,1921,Sei personaggi in cerca d'autore,gutenberg_18457,https://www.gutenberg.org/ebooks/18457.txt.utf-8,gutenberg_text
literary,Luigi Pirandello,it,1908,L'umorismo,gutenberg_56958,https://www.gutenberg.org/ebooks/56958.txt.utf-8,gutenberg_text
literary,Edmondo De Amicis,it,1868,La vita militare: bozzetti,gutenberg_45647,https://www.gutenberg.org/ebooks/45647.txt.utf-8,gutenberg_text
literary,Edmondo De Amicis,it,1879,Ricordi di Parigi,gutenberg_17853,https://www.gutenberg.org/ebooks/17853.txt.utf-8,gutenberg_text
literary,Edmondo De Amicis,it,1876,Marocco,gutenberg_30725,https://www.gutenberg.org/ebooks/30725.txt.utf-8,gutenberg_text
literary,Antonio Fogazzaro,it,1888,Il mistero del poeta,gutenberg_22504,https://www.gutenberg.org/ebooks/22504.txt.utf-8,gutenberg_text
literary,Antonio Fogazzaro,it,1887,Fedele ed altri racconti,gutenberg_57082,https://www.gutenberg.org/ebooks/57082.txt.utf-8,gutenberg_text
literary,Antonio Fogazzaro,it,1901,Idillii spezzati,gutenberg_60115,https://www.gutenberg.org/ebooks/60115.txt.utf-8,gutenberg_text
literary,Giovanni Verga,it,1881,I Malavoglia,wikisource_verga_malavoglia,https://it.wikisource.org/wiki/I_Malavoglia,wikisource_subpages
literary,Giovanni Verga,it,1889,Mastro-don Gesualdo,wikisource_verga_gesualdo,https://it.wikisource.org/wiki/Mastro-don_Gesualdo,wikisource_subpages
literary,Italo Svevo,it,1898,Senilità,wikisource_svevo_senilita,https://it.wikisource.org/wiki/Senilità,wikisource_subpages
literary,Italo Svevo,it,1923,La coscienza di Zeno,wikisource_svevo_zeno,https://it.wikisource.org/wiki/La_coscienza_di_Zeno,wikisource_subpages
literary,Italo Svevo,it,1892,Una vita,wikisource_svevo_unavita,https://it.wikisource.org/wiki/Una_vita,wikisource_subpages
literary,Ivan Turgenev,ru,1858,Ася (Тургенев),wikisource_turgenev_asya,https://ru.wikisource.org/wiki/Ася_(Тургенев),wikisource_subpages
literary,Ivan Turgenev,ru,1862,Отцы и дети (Тургенев),wikisource_turgenev_ottsy,https://ru.wikisource.org/wiki/Отцы_и_дети_(Тургенев),wikisource_subpages
literary,Ivan Turgenev,ru,1860,Первая любовь (Тургенев),wikisource_turgenev_pervaya,https://ru.wikisource.org/wiki/Первая_любовь_(Тургенев),wikisource_subpages
